Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
8.400,0.44006901664473363,35.15222944058899,64.29420255609753,0.026628965116156846,0.06432910269926766,0.022540918853324272
8.500,0.4399613650028793,35.14947565926306,64.29700044816946,0.026618849526354852,0.06436565178991784,0.02257802624831941
8.600,0.44008349183069495,35.148372649215595,64.2980070263274,0.026610858961525288,0.06437014567422158,0.02255582799056636
8.700,0.4400505446304906,35.14856385893432,64.29790398032209,0.02657549481457522,0.06439397611439734,0.02251214518413044
8.800,0.4400198317002417,35.147328277551416,64.29915973412321,0.02660855076336409,0.06434313659958334,0.022540469262196744
8.900,0.44008119664893747,35.14801401275215,64.29849846617114,0.02658875716268823,0.06431819628158292,0.0224993709835088
9.000,0.43988949014945533,35.146665352377084,64.2999944931294,0.026555076662256576,0.06437273276480467,0.022522854916983928
9.100,0.44000169747599294,35.14497354035432,64.30159408417062,0.026582961344204573,0.06435288957691834,0.02249482707794019
9.200,0.4400039195342571,35.14476417921655,64.3018325991382,0.026582086467659676,0.06435156348584481,0.022465652157489018
9.300,0.44005592146368544,35.143274072018535,64.30325000553441,0.02655876503495198,0.06439462613611009,0.022466609812310218
9.400,0.44003082837185775,35.14146551078572,64.30514094201139,0.026532595727450387,0.06438083473188402,0.022449288371688372
9.500,0.44006441975893956,35.14175437508978,64.30474216907733,0.02657052718731954,0.06438878862750029,0.02247972025912473
9.600,0.4401251490025221,35.14044193285798,64.30603648800505,0.026540963834288552,0.06439157498961245,0.022463891310550467
9.700,0.43996345727587255,35.13933149041879,64.30727811672483,0.026542489004886496,0.06442954260566701,0.022454903969951853
9.800,0.4400247076507639,35.13881708031927,64.30777313344785,0.026552037726986995,0.06439321584002605,0.022439825015096997
9.900,0.43996647390961086,35.13909941688796,64.30761519323507,0.026509066985911336,0.06437142087264384,0.022438428108805565

,Density (ions/nm^3)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.15595040953195194,16.449219879266405,21.46150944263991,0.009266703537438288,0.028679860948147614,0.008797503358327489
0.100,0.15293413096793212,15.610508649338678,20.69794592470188,0.00928346119062449,0.024515710689320628,0.008035053503437622
0.200,0.15028297463330087,15.141374713546108,20.520326031210413,0.009522912123728728,0.0237285658006816,0.007905406142259083
0.300,0.14788683366992367,14.716239488665506,20.37517128025314,0.009146233817907086,0.02402431884648177,0.007993840059567667
0.400,0.14758558011551937,14.3074950814151,20.237285799499077,0.008913842521781772,0.02323502517326915,0.00800620932789093
0.500,0.14566346324629628,13.917193653855575,20.11075695904493,0.008854864967350114,0.022974053178991354,0.007678641911420719
0.600,0.14449103625878962,13.527016223678574,20.002326880282375,0.008790576789065613,0.022479585309238083,0.007652673914978003
0.700,0.142905821443433,13.15288615576834,19.869219263797266,0.0087516944729639,0.022128064992668894,0.00760888656196897
0.800,0.14131061689227023,12.807084641105954,19.761014485668866,0.008640473247740666,0.021634292005236377,0.007502608679784578
