Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4088163

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50330,4088163,7380469,3225,7449,1836
Bulk Concentration (ionic %),0.43645772196298965,35.452221537718685,64.0028350240108,0.027966941254334222,0.06459713035768547,0.01592164469549074
Bulk Density (ions/nm^3),0.13100902720656374,10.641491311183533,19.21136626302802,0.008394677384088377,0.01938975250668971,0.004779109357267057

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
1.600,1.0136042315165812,1.0034379353428207,0.998002073835335,1.006059988325029,1.001427483693586,0.986881425423012
1.800,1.0136570334356427,1.002573571824738,0.9984753669052294,1.0103709282028732,1.0040927322610622,0.9891256436332717
2.000,1.0131539366295406,1.0019377137334853,0.9988284050837285,1.0099028340117617,1.0053373488318502,0.9953693837538431
2.200,1.0126996208807528,1.0014177324685598,0.9991230852105064,1.0083656880451624,1.0039896686738619,0.9892432967368545
2.400,1.0121408363052133,1.0009255604861793,0.9993965299508539,1.01210815022688,1.0042653942753246,0.9935620144943987
2.600,1.0124268414674042,1.0005735425486197,0.9995914270730402,1.009834339841686,1.0045129461527809,0.9890788575918559
2.800,1.0114981184148337,1.0002762687719948,0.9997642117310733,1.008219359740969,1.0036152825389324,0.9883759602599912
3.000,1.011147837677163,0.9998970142643927,0.9999741020432555,1.011086587675704,1.0047623673876067,0.9890314545413765
3.200,1.010593298414892,0.9997969309230477,1.000034063644711,1.0089696584164263,1.0044771355559716,0.9909236234497186
3.400,1.010267871328086,0.9996908836224292,1.0000949729435205,1.0124729231079654,1.0045158482984993,0.9848189417473244
3.600,1.0099294039696785,0.9996503149494469,1.0001202462690244,1.0117735561090584,1.0042734457247464,0.9850468992239396
3.800,1.0091268185657705,0.999583456911129,1.0001641399668788,1.012482365122513,1.0032717601525127,0.9822910453747314
4.000,1.009118983632988,0.9996263152489553,1.000139865293649,1.011629093595304,1.0040661164562974,0.9829313367955075
4.200,1.0086585065390385,0.999510099623515,1.000208257075177,1.0125489346106824,1.0036128900855454,0.97962545696247
4.400,1.0084919206220584,0.9994575045692543,1.0002379267021944,1.0116975295661306,1.0046107284903247,0.9794830520392834
4.600,1.0074241524438772,0.9994332297719634,1.0002600878163608,1.0113568338079084,1.0037374616250254,0.9778623511210244
4.800,1.0075130461006139,0.9994026663884933,1.0002754369223184,1.0116803417462386,1.0045780558273159,0.9778000285176043
5.000,1.006880073505349,0.9993524143492951,1.000308525948021,1.0116575507371655,1.0041014982728316,0.9760063944406896
5.200,1.0066035228327743,0.9993452591546916,1.000313939446603,1.0114484923356148,1.0043840841874745,0.9769788724297135
5.400,1.0062592502377417,0.9993043094457991,1.0003399195040117,1.0106658099673056,1.0044241805325793,0.9743736377369047
5.600,1.0060727967973344,0.9993065400263629,1.0003387270499504,1.011580271006961,1.005154562430588,0.9747420164663908
5.800,1.005530797473236,0.9992483531104979,1.0003752556654806,1.0107531403238152,1.0051668451162166,0.973725736890841
6.000,1.0051840576147912,0.9992260197588276,1.0003902304234056,1.0102577427057795,1.0051109509519711,0.9738603095155816
6.200,1.0045793384757606,0.9991509110413953,1.0004358704638678,1.0092361455595573,1.005643704837605,0.9738458526337684
6.400,1.0045024418031239,0.9990891408338757,1.0004721966348618,1.0090907534101792,1.004506216722151,0.9723397230917538
6.600,1.0040276172123708,0.9990398526444552,1.0005023401686213,1.0092082441992685,1.0049834027067943,0.9717891737028553
6.800,1.0037162541557396,0.9989949900981362,1.0005291096849367,1.0098058986428995,1.004955036931784,0.9716740213904542
7.000,1.0030605312723453,0.9989550730277321,1.000555958728941,1.0098748839365235,1.004812212093204,0.9710601383357597
7.200,1.0028497408023702,0.998863685095401,1.0006075755054604,1.0090476785210987,1.0057571008177053,0.9704561570348222
7.400,1.0026694645558956,0.9988431180216253,1.0006206092912666,1.008875335948642,1.0055190028243226,0.9700687922020937
7.600,1.0024493076244574,0.9988145296245945,1.0006377923587253,1.008778842884861,1.0059564790009723,0.9690817871457039
7.800,1.0017295322781659,0.99872636358119,1.0006917061761775,1.0086980987171537,1.0058098613655073,0.9691399276740873
8.000,1.0016854965101516,0.9986462298018424,1.0007360934246126,1.0087911177491182,1.0059867915456664,0.9694665189725068
8.200,1.0011544423249519,0.9986017513884392,1.000765214798536,1.0077443105115373,1.006011410645272,0.9677378312300299
8.400,1.001092226749287,0.9985728954751973,1.0007809417087028,1.0093471000344645,1.0062674869377368,0.9666215487153227
8.600,1.000592060632808,0.9984883548179923,1.000831783296304,1.0090833852839385,1.0059592089568603,0.9659142660202205
8.800,1.0005145662838055,0.9984690021761449,1.0008425509004277,1.0092059344769486,1.0064600233465313,0.9655990639307132
9.000,0.999973612901004,0.9984195339797974,1.0008734057707602,1.0085953649062673,1.0067963007728,0.9662531903306439
9.200,0.9998956697978274,0.9984362641463582,1.0008652388118122,1.0084095464663603,1.0066359380682022,0.9649443788169204
9.400,0.9995639812607111,0.9983766628303526,1.0008999472894844,1.008566411699172,1.0070009687314987,0.965469396046409
9.600,0.9993864963448185,0.9983652076529992,1.0009078807289888,1.008624557719463,1.0068457074841928,0.96447809093893
9.800,0.9992440237826994,0.998348011223315,1.0009180750867608,1.0090158868826764,1.0070411874738,0.964214007667442

,Bulk Normalized Density
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,1.1785374272664848,1.2606090141471964,1.1286513087656453,1.1869209735520792,1.2152186429104195,1.185244411090934
0.200,1.1521592139689953,1.203643126900148,1.1093139254425983,1.1347486846636063,1.1771960664978034,1.1047298930593974
0.400,1.13443266554187,1.1631374379710082,1.0976673707705507,1.1286161539919604,1.1444438986318404,1.0961742944472108
0.600,1.1196455653561912,1.1311893220066882,1.0881748358982135,1.1017532084244115,1.125865002894832,1.0902581562988929
0.800,1.1055155531989505,1.1074799061329972,1.0796011846174718,1.095020734123601,1.1057609097035628,1.077126235350714
1.000,1.0956218406127294,1.0903742620570158,1.0725073136701788,1.08975243322508,1.087668499191696,1.065488069880678
1.200,1.0855655451513235,1.0775767888666459,1.0660362561710561,1.07837927898979,1.0721839873908188,1.0698613879298988
1.400,1.0785320979194752,1.067763133938483,1.0597886839403352,1.0707732520521902,1.0659059525860928,1.0587975660762068
1.600,1.0700726516757653,1.0593399858421784,1.053601289656238,1.0621081147629783,1.0572175308834577,1.0418611041233465
1.800,1.0631968451962566,1.0515717086561116,1.0472732147891861,1.0597501402445615,1.0531651140486367,1.0374665484727585
2.000,1.055961771778441,1.0442716404234946,1.04103095709582,1.0525733033963074,1.04781491708865,1.0374257850088655
2.200,1.048820468281447,1.0371361788400386,1.0347596863815551,1.0443319532544826,1.039799850554351,1.0245275068094477
2.400,1.041632254559771,1.0300901918172622,1.0285166089059987,1.0415986160855137,1.033527340556702,1.0225120893063784
2.600,1.0353777458374236,1.0232557421403659,1.0222513628947665,1.0327264742794455,1.0272844488642103,1.011500481896183
2.800,1.0279234491199398,1.0165193721569001,1.015999000017726,1.024591447939203,1.0199126068900979,1.0044258190908595
3.000,1.0211095569837716,1.0097478916736744,1.00982573891301,1.0210477035539125,1.0146611777304664,0.9987752856295996
3.200,1.0142787773227797,1.0034430371330012,1.003681034641365,1.0126492161580272,1.0081403097550818,0.9945373700669583
3.400,1.0077310408089346,0.997180612420835,0.9975836870544841,1.0099305555992588,1.0019934613818642,0.9823460146968204
3.600,1.0011798295813439,0.9909897939678886,0.9914556540137495,1.0030080048155425,0.9955728720162684,0.9765128956719282
3.800,0.99424823847284,0.9848455842774811,0.98541770573404,0.9975543108036663,0.9884795071236815,0.9678081323014789
4.000,0.9881712933408945,0.9788756775151622,0.9793785670852636,0.9906292974495478,0.9832233155760783,0.9625272600161195
4.200,0.9816312240774349,0.9727279512446325,0.9734074013751084,0.9854174070574969,0.9767208063063473,0.9533761230598092
4.400,0.97542765474355,0.9666894397096323,0.967444275038778,0.9785281650703083,0.9716737107988815,0.9473698666047949
4.600,0.9684043879352674,0.9607229713637467,0.9615178033681726,0.9721847478562009,0.9648604908018945,0.939987580529098
4.800,0.9625523296861527,0.9548038792648357,0.9556377020266015,0.9665336579158086,0.9597483146551781,0.9341652686875649
5.000,0.9559959524574859,0.9488487142967253,0.9497565074317086,0.9605319930612829,0.9533577964885857,0.9266825188123731
5.200,0.9498611496367231,0.9430120352384064,0.9439261108946447,0.9544330075703928,0.9477668210402566,0.9219064446797528
5.400,0.9436618815208697,0.9371395936392526,0.9381107804738819,0.9477943180122131,0.9419409678196679,0.9137598089894857
5.600,0.9376747701996477,0.9313685185218077,0.9323305321387408,0.9428078178581585,0.9368189621492072,0.9084740181859632
5.800,0.9313632135403959,0.9255441599765748,0.9265879426111724,0.9362003582919517,0.9310261061761452,0.9019040825965179
6.000,0.9252724414472211,0.9197880645398676,0.9208597210547242,0.9299427711800788,0.9252051467265366,0.8964389152293389
6.200,0.9189882104629599,0.9140222902787912,0.915197769919819,0.9232482530942394,0.9199618917847682,0.8908732472405677
